#{"t_start": 1769913444.6606183, "env_id": "None"}
r,l,t
-2.0053,3,10889.982667
-2.01155,11,10981.076461
-2.0033,3,11003.247818
-2.0074,6,11047.789238
-2.0037,4,11077.912413
-2.00205,2,11095.037912
-2.0087,7,11140.94174
-2.00825,6,11183.527811
-2.00185,2,11201.142714
-2.00165,4,11228.736962
-2.00185,5,11261.533334
-2.00245,2,11281.634972
-2.0074,9,11349.869493
-2.0049,3,11372.487382
-2.0041,5,11409.946799
-2.00225,2,11429.236645
-2.0033,3,11456.356698
-2.00105,2,11471.214929
-2.0123,7,11521.290352
-2.00165,3,11542.107598
-2.0029,4,11574.913416
-2.01355,9,11643.77119
-2.00725,6,11686.768682
-2.00435,6,11725.517634
-2.0082,6,11770.742228
-2.0041,3,11793.664034
-2.0087,7,11842.775935
-2.00615,5,11878.200472
-2.0082,5,11915.863511
-2.00555,5,11955.521353
-2.00125,2,11970.7847
-2.00925,7,12023.675749
-2.0041,4,12051.346785
-2.00105,3,12076.591264
-2.0068,9,12143.990526
-2.00085,2,12163.130108
-2.005,5,12191.974265
-2.0032,7,12239.79691
-2.00195,4,12265.469069
-2.00165,2,12286.779368
-2.00245,4,12316.98208
-2.00875,8,12367.928827
-2.0025,3,12394.946941
-2.00725,6,12442.018987
-2.0017,4,12467.702444
-2.0021,3,12494.634202
-2.00205,2,12512.386383
-2.00165,2,12527.69153
-2.00105,2,12546.861395
-2.0129,11,12628.669225
-2.00615,4,12657.165694
-2.0147,15,12757.838552
-2.00205,3,12782.445206
-2.00225,5,12817.67562
-2.00145,2,12832.628242
-2.00205,2,12847.652325
-2.0017,5,12889.99446
-2.00145,2,12905.008592
-2.00725,7,12955.507589
-2.0045,3,12982.444689
-2.00725,7,13030.525532
-2.0066,11,13111.371253
-2.0045,3,13134.473255
-2.00125,3,13159.64636
-2.00875,9,13228.793795
-2.0074,5,13265.843801
-2.00165,2,13282.764521
-2.00185,2,13295.520173
-2.00105,2,13312.473749
-2.0041,3,13341.241486
-2.00145,3,13367.674558
-2.0021,4,13393.502661
-2.0017,3,13414.07004
-2.00085,2,13433.102356
-2.00125,3,13455.99234
-2.00315,4,13488.709931
-2.0033,3,13512.983886
-2.0041,3,13537.829016
-2.00375,4,13565.724152
-2.00375,4,13597.732723
-2.0074,6,13642.498774
-2.0021,4,13670.37861
-2.00875,9,13741.103343
-2.00375,4,13768.911687
-2.00125,2,13784.019551
-2.00085,2,13801.285789
-2.00185,3,13823.828942
-2.00825,7,13876.301774
-2.0048,6,13915.374736
-2.00725,6,13951.216637
-2.009,5,13986.678901
-2.01665,11,14061.597878
-2.0033,3,14081.929302
-2.00205,3,14102.203628
-2.00125,4,14132.716397
-2.0063,8,14186.05375
-2.0037,6,14229.320163
-2.00495,4,14261.471825
-2.00555,4,14293.730614
-2.01115,8,14353.656845
-2.0074,8,14415.71002
-2.00925,7,14462.174035
-1.99735,7,14508.279019
-2.00855,4,14541.000489
-2.0033,3,14561.561983
-2.00165,2,14578.634534
-2.0025,3,14598.835838
-2.00825,7,14645.440771
-2.00085,9,14716.203113
-2.00275,4,14744.086449
-2.0056,9,14811.536863
-2.00165,2,14828.528211
-2.0081,8,14897.241592
-2.00535,4,14927.555377
-2.00065,2,14947.314533
-2.00265,3,14967.727057
-2.0041,3,14992.858039
-2.0049,3,15013.132281
-2.00165,2,15028.113761
-2.0029,3,15048.078442
-2.00245,11,15123.666497
-2.0025,3,15148.308672
-2.0033,4,15174.040189
-2.0074,5,15210.22432
-2.0058,6,15253.185986
-2.0029,3,15278.053797
-2.00085,2,15292.897631
-2.00205,2,15312.694087
-2.00675,5,15348.017624
-2.00165,3,15371.163318
-2.0054,5,15415.93827
-2.00085,2,15429.71584
-2.0013,4,15461.102401
-2.00375,7,15514.7102
-2.0135,7,15560.910847
-2.0025,3,15581.345016
-2.01025,7,15628.124643
-2.0185,13,15717.633176
-2.00225,2,15732.673753
-2.00335,4,15760.254036
-2.0045,3,15785.300469
-2.00525,9,15840.595125
-2.005,6,15878.932589
-2.005,5,15912.138423
-2.00515,4,15948.273255
-2.00105,2,15967.489061
-2.00085,2,15984.913816
-2.00315,5,16018.233821
-2.00615,4,16046.071978
-2.00205,4,16076.07608
-2.0123,8,16130.258203
-2.0041,3,16153.097034
-2.0053,3,16177.503523
-2.00375,4,16205.268062
-2.0049,3,16223.371194
-2.00735,4,16246.901097
-2.00855,5,16277.53303
-2.0099,8,16336.563965
-2.0123,8,16390.085624
-2.00675,4,16417.803928
-2.0081,11,16496.934573
-2.0033,3,16519.409039
-2.00805,6,16560.4654
-2.00285,2,16575.282566
-2.02205,11,16653.698647
-2.00615,4,16684.022635
-2.0111,11,16758.298092
-2.00535,4,16786.055018
-2.00105,12,16871.156316
-2.0162,9,16934.292609
-2.00285,2,16953.38734
-2.01295,8,17007.157566
-2.00165,3,17030.242611
-2.00225,2,17047.472356
-2.00555,6,17099.966838
-2.027,13,17192.05397
-2.00555,4,17221.741477
-2.00185,2,17234.353328
-2.0041,3,17257.303367
-2.0074,5,17295.089376
-2.0074,5,17336.042258
-2.00145,4,17364.054181
-2.00125,3,17384.604095
-2.0156,11,17461.517973
-2.0132,9,17524.921407
-2.00265,2,17539.871868
-2.01435,10,17620.399091
-2.00495,4,17650.006393
-2.00615,4,17682.543251
-2.03075,16,17792.608475
-2.00425,6,17840.145553
-2.0017,5,17876.212739
-2.00195,5,17914.075722
-2.01625,6,17954.524117
-2.00265,3,17975.039581
-2.0123,8,18033.706613
-2.00085,3,18058.417493
-2.00315,4,18088.29928
-2.00225,3,18108.64524
-2.0029,4,18137.841249
-2.0074,5,18174.994401
-2.00345,2,18192.042424
-1.99945,2,18211.184577
-1.99895,2,18226.389746
-2.02525,6,18273.665859
-2.0066,5,18309.374591
-2.0029,4,18339.620794
-2.00165,2,18358.620768
-2.01575,14,18457.308776
-2.0099,7,18510.653444
-2.00165,2,18525.620372
-2.00205,3,18546.150092
-2.03135,16,18666.807816
-2.0021,4,18690.527228
-2.00105,3,18711.009423
-2.00205,2,18724.08256
-2.00105,2,18739.118497
-2.00675,5,18771.892206
-2.00495,4,18797.741929
-2.00165,2,18814.958341
-2.0033,5,18854.724881
-2.0011,4,18883.191086
-2.00825,7,18931.768987
-2.0123,8,18988.005604
-2.00675,4,19018.249732
-2.0033,3,19040.506976
-2.0029,5,19077.969944
-2.005,5,19113.037848
-2.00185,2,19126.053366
-2.00105,2,19143.099937
-2.0075,11,19215.237802
-2.0041,4,19243.9629
-2.00125,2,19259.25428
-2.01025,6,19302.101556
-2.00125,2,19315.161845
-2.0135,7,19359.116027
-2.00255,4,19389.011763
-2.005,5,19422.277956
-2.0025,3,19447.656713
-2.00625,6,19491.49427
-2.00205,7,19540.366582
-2.009,10,19608.401263
-2.0082,5,19645.766656
-2.00205,2,19661.017852
-2.0017,4,19691.756678
-2.00205,2,19709.069396
-2.00085,2,19721.850466
-2.01885,14,19819.215369
-2.01015,8,19879.742583
-2.00105,2,19893.211084
-2.00245,3,19918.184606
-2.00195,4,19943.904877
-2.00535,4,19969.782322
-2.00555,4,20002.282427
-2.00225,2,20017.305046
-2.00105,2,20034.309185
-2.00065,5,20069.884001
-2.00245,3,20092.208951
-2.00375,4,20122.19709
-2.0045,3,20144.881078
-2.0029,4,20176.957742
-2.0037,5,20209.956634
-2.00205,2,20226.945929
-2.00555,5,20255.813085
-2.00285,3,20276.421114
-2.0033,3,20299.027822
-2.01025,6,20337.723137
-2.0057,4,20369.137828
-2.0098,5,20405.609232
-2.00185,2,20425.057209
-2.0106,5,20456.445393
-2.007,7,20507.195496
-2.0034,6,20549.961388
-2.0025,4,20582.185467
-2.00145,3,20604.911447
-2.01015,9,20670.603132
-2.0025,3,20691.224616
-2.0064,9,20758.597425
-2.0114,9,20821.965359
-2.0049,3,20841.957002
-2.00185,2,20859.260879
-2.00525,6,20903.188457
-2.00785,6,20945.946549
-2.00225,2,20961.245055
-2.00205,3,20984.479517
-2.0017,5,21026.796211
-2.0041,3,21052.674245
-2.0171,10,21123.170628
-2.0058,6,21164.935557
-2.0029,3,21187.470598
-2.00315,4,21215.084055
-2.01295,8,21270.904924
-2.005,6,21313.688389
-2.0029,3,21336.236217
-2.0074,5,21371.813487
-2.0025,3,21394.517873
-2.00185,5,21433.047113
-2.00675,5,21465.98803
-2.00105,2,21483.093112
-2.00735,6,21527.703669
-2.0061,4,21558.543317
-2.00715,4,21593.093101
-2.00065,2,21606.16195
-2.0075,7,21666.365028
-2.02275,8,21725.077013
-2.00515,5,21769.116048
-2.00165,5,21817.209042
-2.00185,4,21847.391391
-2.01225,7,21897.589543
-2.00555,5,21935.689332
-2.0021,4,21963.417259
-2.0119,12,22050.056515
-2.0025,4,22082.377736
-2.00195,4,22108.234471
-2.0087,8,22164.092814
-2.0025,4,22194.122852
-2.0021,3,22214.629369
-2.00085,3,22234.989051
-2.005,6,22280.032808
-2.00245,2,22299.260637
-2.0049,4,22327.623879
-2.00435,4,22359.922104
-2.00105,2,22375.298006
-2.00145,2,22390.376428
-2.0099,7,22438.447937
-2.0049,5,22474.095446
-2.0105,12,22562.963883
-2.00875,8,22618.553349
-2.00185,4,22648.650547
-2.027,14,22748.354761
-2.01105,21,22891.241464
-2.02475,18,23009.394115
-2.0258,13,23091.766075
-2.0343,16,23198.517327
-2.0009,4,23228.619452
-2.0053,3,23251.3986
-2.00165,3,23271.724753
-2.0045,4,23301.915021
-2.0033,5,23337.55213
-2.00555,4,23367.521686
-2.00315,5,23400.580681
-2.00185,2,23415.685369
-2.00275,4,23441.50904
-2.045,21,23587.362893
-2.011,10,23659.88129
-2.00185,3,23683.56309
-2.01015,8,23735.65485
-2.0037,3,23760.66399
-2.01725,15,23856.406625
-2.0075,7,23907.237839
-2.0025,5,23943.374365
-2.00085,2,23958.141929
-2.0062,5,23991.882495
-2.00185,6,24037.266062
-2.00225,3,24057.854515
-2.0021,5,24091.042905
-2.0041,3,24113.83773
-2.00085,2,24126.453418
-2.00375,4,24154.054558
-2.00315,4,24184.037394
-2.00245,4,24210.080606
-2.02375,21,24339.900878
-2.01715,10,24420.580178
-2.0013,4,24444.994251
-2.00145,2,24462.325336
-2.0075,7,24504.564768
-2.0135,7,24554.398494
-2.0031,4,24584.793499
-2.00495,4,24613.224813
-2.00165,3,24631.35083
-2.005,5,24669.206135
-2.0074,5,24700.170844
-2.00435,7,24748.171208
-2.009,5,24789.141715
-2.0025,3,24809.555967
-2.0167,12,24892.689628
-2.01485,15,24994.114437
-2.03375,21,25142.295683
-2.0294,14,25244.403707
-2.00435,8,25310.787426
-2.0041,3,25337.809851
-2.00125,2,25353.136904
-2.00825,7,25404.557942
-2.01155,13,25503.384782
-2.0116,10,25580.473397
-2.0042,7,25632.545367
-2.00265,2,25650.977504
-2.00525,6,25695.669717
-2.01365,15,25809.008582
-2.01885,15,25916.022161
-2.0041,3,25938.467991
-2.0066,7,25982.639836
-2.00495,5,26018.279954
-2.0042,5,26049.469613
-2.00165,4,26075.632793
-2.00455,8,26127.262712
-2.0025,3,26147.652171
-2.0029,3,26168.983065
-2.00165,4,26205.42894
-2.00925,6,26246.613646
-2.00375,4,26279.335659
-2.01155,11,26353.870096
-2.00165,2,26366.915569
-2.0034,9,26431.584206
-2.01125,7,26478.511064
-2.00265,3,26501.501599
-2.00165,3,26525.889504
-2.0245,11,26597.685585
-2.0114,10,26663.988642
-2.00085,2,26678.969373
-2.00435,6,26717.700352
-2.00375,5,26752.95056
-2.0021,4,26776.472839
-2.0145,12,26859.267463
-2.00555,4,26884.78964
-2.0172,9,26943.61313
-2.01595,12,27023.288363
-2.0111,7,27069.964208
-2.0045,4,27097.822803
-2.01575,8,27152.016793
-2.0021,3,27172.930283
-2.00165,4,27198.690439
-2.00165,2,27213.881174
-2.0033,3,27234.326795
-2.00225,2,27251.434024
-2.0111,7,27304.519104
-2.00165,2,27320.986256
-2.0033,3,27341.841836
-2.00165,3,27360.561169
-2.00065,2,27375.778487
-2.00415,5,27409.437299
-2.02255,12,27488.615613
-2.0029,4,27520.603083
-2.00145,3,27543.421046
-2.0033,3,27564.14087
-2.00575,4,27587.831612
-2.0259,15,27688.019917
-2.00615,4,27713.549855
-2.01635,9,27772.677759
-2.00045,3,27795.56653
-2.00165,2,27808.730086
-2.00145,2,27823.759159
-2.0041,3,27842.360998
-2.0029,4,27870.203826
-2.0025,3,27893.617692
-2.02025,13,27978.630392
-2.00435,4,28006.622782
-2.0075,7,28050.969016
-2.01485,10,28122.91433
-2.00065,4,28151.207677
-2.00105,2,28169.692999
-2.00165,2,28184.937889
-2.0111,10,28245.304541
-2.01575,8,28306.606258
-2.00425,7,28353.039554
-2.00165,2,28370.141671
-2.00435,4,28397.95752
-2.00205,2,28413.140482
-2.00105,2,28430.34151
-2.00555,4,28458.516423
-2.00555,4,28481.965469
-2.00205,2,28494.973652
-2.00165,2,28515.964491
-2.0021,4,28541.628096
-2.0058,5,28581.707273
-2.0065,5,28619.622043
-2.01415,9,28685.030293
-2.0025,3,28705.121903
-2.0033,5,28738.347528
-2.0074,6,28774.687108
-2.00525,6,28813.267894
-2.00225,2,28830.45723
-2.01225,9,28889.16778
-2.0132,9,28951.519501
-2.00125,2,28966.669158
-1.9998,7,29015.014912
-2.0082,6,29053.343294
-2.00125,4,29081.29729
-2.00495,4,29107.477855
-2.00825,6,29148.276022
-2.00125,2,29161.266295
-2.0005,3,29183.809224
-2.0265,13,29265.266432
-2.0041,3,29288.331491
-2.00495,4,29314.091244
-2.0042,5,29347.946778
-2.0025,3,29372.474862
-2.00675,4,29400.699835
-2.00205,3,29418.95616
-2.00255,6,29460.152224
-2.0037,3,29478.459408
-2.0241,11,29547.987977
-2.00735,7,29594.183657
-2.0045,3,29614.555951
-2.00145,2,29627.263414
-2.01125,7,29673.586847
-2.00315,4,29699.526226
-2.00675,4,29733.475607
-2.0082,5,29769.12791
-2.01845,11,29845.707763
-2.00225,2,29862.828487
-2.005,5,29893.783709
-2.0061,7,29942.454211
-2.0045,3,29965.732871
-2.0212,12,30038.929079
-2.0342,16,30131.425966
-2.00435,7,30172.794674
-2.08085,34,30382.111707
-2.00185,2,30394.977509
-2.00185,2,30412.135219
-2.0017,3,30436.687284
-2.0121,8,30488.00556
-2.02385,17,30594.558587
-2.00495,6,30628.850977
-2.03515,21,30764.0507
-2.00185,2,30779.298072
-2.00165,2,30791.927101
-2.0039,5,30822.306751
-2.00625,7,30866.793647
-2.0042,7,30913.192164
-2.00225,3,30931.485223
-2.0058,9,30990.646945
-2.00255,4,31016.346665
-2.0159,7,31060.672044
-2.00165,2,31078.053981
-2.01175,10,31144.765747
-2.0029,3,31167.804224
-2.0031,3,31189.690101
-2.01225,6,31226.5272
-2.00165,4,31253.127817
-2.0029,3,31273.75829
-2.0045,3,31292.825211
-2.0037,3,31311.032349
-2.0371,15,31400.253368
-2.01715,9,31462.691827
-2.0074,7,31504.788521
-2.00425,6,31551.152143
-2.0026,5,31582.611318
-2.00315,7,31626.562924
-2.01025,6,31669.364478
-2.0246,13,31758.851931
-2.01395,8,31816.921421
-2.00455,9,31880.63359
-2.00165,2,31893.619026
-2.00615,6,31932.002984
-2.0021,3,31952.360059
-2.0125,11,32029.415442
-2.0196,9,32089.774453
-2.00125,4,32118.27558
-2.00185,2,32135.202253
-2.00225,3,32153.493021
-2.00525,6,32189.898707
-2.0037,3,32208.15761
-2.0042,6,32246.33719
-2.0042,5,32286.58349
-2.0589,23,32420.37684
-2.00105,2,32435.866462
-2.0041,3,32458.214661
-2.01225,6,32504.675343
-2.0148,9,32570.700694
-2.00495,4,32603.132389
-2.036,17,32722.330108
-2.0068,10,32788.965007
-2.0123,9,32863.74553
-2.01295,11,32938.386666
-2.00795,5,32973.995724
-2.0315,17,33094.4455
-2.00825,6,33135.256887
-2.00285,4,33164.021676
-2.00245,2,33179.825939
-2.00825,6,33224.894478
-2.00185,4,33257.564846
-2.00525,7,33308.354904
-2.04455,29,33497.200042
-2.00575,4,33522.85929
-2.0042,6,33571.105449
-2.00735,8,33624.301243
-2.0087,8,33676.230829
-2.005,7,33724.682373
-2.00085,3,33747.414214
-2.00925,6,33783.938955
-2.01245,10,33852.710723
-2.0049,3,33875.482526
-2.00225,2,33888.577704
-2.0125,11,33972.910863
-2.01155,8,34022.771857
-2.00165,2,34036.234636
-2.0447,23,34178.022988
-2.06405,33,34382.647643
-2.00125,3,34405.101073
-2.0147,7,34448.873152
-2.0145,11,34521.600315
-2.0457,35,34742.761609
-2.00615,4,34768.435694
-2.05635,25,34927.960321
-2.0528,33,35118.293661
-2.00105,2,35136.713687
-2.00615,4,35163.355873
-2.01225,6,35204.297199
-1.9993,3,35226.285058
-2.00085,3,35248.90807
-2.0533,29,35427.702663
-2.00555,6,35470.845922
-2.0265,11,35538.697577
-2.0074,9,35595.457041
-2.01575,9,35650.046913
-2.00205,6,35693.345637
-2.0082,5,35728.896812
-2.01155,8,35778.974944
-2.00125,3,35803.271935
-2.005,5,35834.763806
-2.0058,6,35875.382026
-2.02145,14,35960.096564
-2.01225,7,36005.946951
-2.00495,5,36039.359764
-2.0045,6,36085.246294
-2.00335,4,36117.080449
-2.00185,2,36132.295738
-2.00495,4,36157.761227
-2.0021,3,36178.155124
-2.00555,6,36214.791774
-2.0029,4,36244.281117
-2.00275,6,36282.403375
-2.00625,6,36330.325018
-2.0033,5,36361.952816
-2.00945,7,36408.568054
-2.01915,12,36483.751162
-2.00245,5,36513.533084
-2.00265,4,36540.273665
-2.00225,2,36557.668076
-2.00125,2,36572.878869
-2.01305,10,36634.712146
-2.05515,41,36908.262881
-2.00615,5,36945.014799
-2.00615,4,36973.779642
-2.01415,16,37068.552769
-2.03885,23,37211.850229
-2.009,5,37241.723189
-2.0045,5,37270.961665
-2.00675,7,37316.195939
-2.0074,5,37345.328624
-2.00105,2,37358.645174
-2.0225,13,37439.498889
-2.00675,4,37463.141862
-2.0021,3,37489.434545
-2.03735,16,37598.702012
-2.0082,8,37648.521615
-2.00975,15,37751.742007
-2.0082,5,37785.705667
-2.0174,14,37874.166205
-2.00105,7,37926.473907
-2.00875,12,37995.279729
-2.0065,5,38028.513423
-2.02205,10,38094.722148
-2.0057,7,38144.400672
