#{"t_start": 1769913444.6572013, "env_id": "None"}
r,l,t
-2.0135,7,13588.270587
-2.0132,10,13658.767268
-2.00225,2,13676.051203
-2.00615,4,13707.196178
-2.00325,3,13729.576216
-2.0106,5,13762.349694
-2.0027,3,13789.314597
-2.00305,3,13813.970885
-2.00305,2,13829.068532
-2.00325,7,13881.681437
-2.00455,4,13905.876809
-2.0058,7,13946.828954
-2.01025,6,13992.360494
-2.0033,3,14012.925354
-2.01435,8,14066.966929
-2.0074,5,14098.043903
-2.0045,3,14122.718262
-2.00795,4,14148.591178
-2.00245,3,14168.822428
-2.01305,10,14242.087278
-2.00105,3,14268.849174
-2.00145,2,14284.200276
-2.0061,3,14306.674965
-2.00915,5,14341.6263
-2.0017,4,14371.586571
-2.0114,5,14411.348905
-2.0146,5,14442.893283
-2.0037,3,14467.478437
-2.02275,8,14521.449521
-2.0164,10,14594.666574
-2.00285,4,14622.564008
-2.0045,4,14652.73857
-2.02565,15,14762.23423
-2.00185,2,14781.274695
-2.01855,9,14851.271721
-2.00205,2,14866.134566
-2.0041,3,14890.56354
-2.00595,4,14923.011607
-2.00185,2,14942.991285
-2.0261,12,15033.456246
-2.01025,6,15073.643459
-2.0078,5,15106.812548
-2.00165,3,15128.937828
-2.01855,8,15189.966352
-2.00615,4,15215.818305
-2.00555,5,15248.97921
-2.00185,3,15271.45533
-2.0082,9,15343.839139
-2.00325,2,15358.904894
-2.00125,2,15376.79392
-2.00205,3,15405.354988
-2.0098,5,15443.649502
-2.00855,4,15474.417083
-2.00725,8,15531.265711
-2.0098,7,15577.170665
-2.0578,21,15723.265093
-2.0106,8,15781.146114
-2.0033,4,15807.152848
-2.00725,6,15845.861968
-2.0195,9,15900.447599
-2.0045,3,15925.564806
-2.00145,3,15957.77687
-2.00345,2,15972.827101
-2.02385,10,16041.887887
-2.00325,4,16071.809707
-2.0276,9,16137.694539
-2.0037,4,16168.099253
-2.0045,5,16201.070706
-2.02255,15,16298.165601
-2.01425,7,16347.267752
-2.0069,4,16372.717868
-2.00345,5,16408.222874
-2.00205,3,16428.616827
-2.00655,9,16492.553241
-2.0057,3,16515.176136
-2.0337,12,16598.951979
-2.0074,6,16641.933058
-2.00365,2,16659.080631
-2.00385,3,16679.879461
-2.01525,6,16720.772339
-2.00225,2,16735.533613
-2.0135,7,16781.620643
-2.00245,2,16796.805961
-2.00855,4,16822.227657
-2.00205,2,16841.034338
-2.00165,2,16856.244298
-2.02475,13,16949.216556
-2.00325,4,16980.976858
-2.0082,5,17012.41147
-2.01155,5,17055.150122
-2.00795,4,17085.78703
-2.00305,2,17105.272002
-2.00205,3,17127.953769
-2.01025,7,17172.638503
-2.0244,10,17247.553316
-2.0058,6,17290.7231
-2.00285,3,17316.314651
-2.0171,7,17369.540419
-2.01715,9,17435.75275
-2.00385,5,17469.211274
-2.00985,6,17509.594889
-2.00495,5,17545.149214
-2.00125,3,17570.088853
-2.00675,4,17598.003318
